rank,student_id,score,s_score,proportion,grade
595 = 637,313000017,56,651,93.4,B
638 = 678,312600178,55,647,92.98,B-
638 = 678,312701021,55,647,92.98,B-
638 = 678,312701089,55,647,92.98,B-
638 = 678,312701212,55,647,92.98,B-
638 = 678,312701249,55,647,92.98,B-
638 = 678,312900002,55,647,92.98,B-
638 = 678,312900490,55,647,92.98,B-
638 = 678,312900221,55,647,92.98,B-
638 = 678,312900497,55,647,92.98,B-
638 = 678,312401361,55,647,92.98,B-
638 = 678,312401924,55,647,92.98,B-
638 = 678,312400114,55,647,92.98,B-
638 = 678,312401522,55,647,92.98,B-
638 = 678,312401691,55,647,92.98,B-
638 = 678,312400795,55,647,92.98,B-
638 = 678,312401140,55,647,92.98,B-
638 = 678,312800857,55,647,92.98,B-
638 = 678,312800940,55,647,92.98,B-
638 = 678,312800169,55,647,92.98,B-
638 = 678,312802219,55,647,92.98,B-
638 = 678,312801817,55,647,92.98,B-
638 = 678,312801786,55,647,92.98,B-
638 = 678,312500464,55,647,92.98,B-
638 = 678,312503917,55,647,92.98,B-
638 = 678,312500039,55,647,92.98,B-
638 = 678,312500059,55,647,92.98,B-
638 = 678,312503349,55,647,92.98,B-
638 = 678,312503340,55,647,92.98,B-
638 = 678,312500510,55,647,92.98,B-
638 = 678,312503494,55,647,92.98,B-
638 = 678,312502467,55,647,92.98,B-
638 = 678,312502578,55,647,92.98,B-
638 = 678,312501152,55,647,92.98,B-
638 = 678,312500953,55,647,92.98,B-
638 = 678,312503092,55,647,92.98,B-
638 = 678,312503202,55,647,92.98,B-
638 = 678,312501712,55,647,92.98,B-
638 = 678,312501918,55,647,92.98,B-
638 = 678,312500154,55,647,92.98,B-
638 = 678,312502137,55,647,92.98,B-
638 = 678,312503759,55,647,92.98,B-
679 = 723,312502221,54,644,92.54,B-
679 = 723,312501570,54,644,92.54,B-
679 = 723,312503180,54,644,92.54,B-
679 = 723,312501147,54,644,92.54,B-
679 = 723,312503354,54,644,92.54,B-
